Index,pKa
0,10.9
1,11.4
2,7.6
3,12.14
4,13.1
5,11.22
6,9.03
7,9.8
8,8.6
9,5
10,6.17
11,6.04
12,6.42
13,7.32
14,4.68
15,8.69
16,4.44
17,4.5
18,4.28
19,4.68
20,3.5
21,4.38
22,4.42
23,4.45
24,1.45
25,3.38
26,6.28
27,6.68
28,9.3
29,2.2
30,7.12
31,7
32,9.44
33,11.07
34,7.46
35,8.95
36,4.23
37,13.45
38,7.5
39,8.1
40,7.75
41,11.31
42,3.05
43,5.5
44,6.9
45,10.37
46,10.46
47,10
48,11.56
49,7.22
50,4.27
51,3.64
52,4.78
53,3.8
54,4.59
55,4.72
56,4.8
57,8.3
58,4.24
59,4.54
60,3.86
61,3.73
62,3.1
63,4.15
64,4.24
65,3.36
66,3.37
67,9.98
68,9.26
69,3.11
70,-0.97
71,12.5
72,1.9
73,8.2
74,4.12
75,7.73
76,11.2
77,4.29
78,9.7
79,3.15
80,8.8
81,0.03
82,10.27
83,10.31
84,10.56
85,10.85
86,10.73
87,10.23
88,2.23
89,4.24
90,4.27
91,4.45
92,4.4
93,9.49
94,3.55
95,9.24
96,9.46
97,8.75
98,8.89
99,8.71
100,11.1
101,8.28
102,8.2
103,8.34
104,11.48
105,8.1
106,2.45
107,7.85
108,2.01
109,2.64
110,2.56
111,4.53
112,4.82
113,4.94
114,6.63
115,3.86
116,2.4
117,3.66
118,4.95
119,4.83
120,4.11
121,4.89
122,8.93
123,4.57
124,3.23
125,3.26
126,2.25
127,6
128,8.56
129,-2.08
130,6.7
131,8.7
132,3.19
133,8.94
134,9.2
135,11.49
136,8.69
137,9.09
138,9.31
139,6.1
140,6.3
141,8.98
142,4.28
143,10.87
144,11.68
145,5.5
146,3.07
147,1.9
148,7.52
149,7.77
150,6.2
151,8.81
152,7.69
153,9.32
154,6.9
155,11.34
156,11.97
157,12.58
158,8.6
159,6.5
160,6.75
161,6.9
162,8.42
163,9.44
164,6.17
165,3.44
166,6.71
167,9.25
168,4.2
169,9.14
170,7.8
171,1.97
172,3.34
173,3.7
174,4.6
175,5.8
176,12.3
177,4.51
178,4.53
179,12.36
180,8.9
181,7.09
182,6.06
183,7.15
184,5.81
185,6.9
186,6.12
187,6.81
188,5.42
189,9.93
190,8.44
191,10.08
192,10.3
193,9.35
194,4.33
195,8.94
196,3.44
197,2.24
198,4.39
199,3.4
200,11.76
201,5.9
202,5
203,4.45
204,4.9
205,4.12
206,3.22
207,2.4
208,2.1
209,7.12
210,12.02
211,0.7
212,9.6
213,4.58
214,8.2
215,12.2
216,6.6
217,9.52
218,9.42
219,6.5
220,4.8
221,4.75
222,1.96
223,13.08
224,8.7
225,8.2
226,7.98
227,7.89
228,7.5
229,7.6
230,5.2
231,10.05
232,10.6
233,10.2
234,3.99
235,4.67
236,3.7
237,4.4
238,3.91
239,3.92
240,4.915
241,4.84
242,13.33
243,8.82
244,7.8
245,10.9
246,12.21
247,8.5
248,13.1
249,9.47
250,10.89
251,10.43
252,6.01
253,6.59
254,8.47
255,7.32
256,13.27
257,4.6
258,11.13
259,5.35
260,4.62
261,1.34
262,3.63
263,3.13
264,3.24
265,6.97
266,6.63
267,3.15
268,10.15
269,10
270,4.73
271,7.65
272,7.56
273,8.3
274,9.85
275,10.52
276,11.4
277,9.3
278,7.35
279,10.69
280,4.36
281,3.53
282,4.88
283,4.25
284,4.48
285,3.43
286,4.48
287,8.9
288,4.66
289,4.22
290,8.43
291,10.2
292,10.83
293,10.1
294,7.56
295,4.15
296,10.27
297,6.8
298,4.35
299,8.21
300,7.5
301,8.11
302,7.26
303,5.75
304,10.71
305,10.69
306,10.82
307,10.77
308,10.9
309,10.76
310,11.18
311,10.23
312,5.2
313,3.76
314,11.9
315,9.43
316,9.8
317,9.57
318,9.59
319,1.95
320,6.3
321,4.4
322,3.49
323,2.91
324,4.165
325,5.04
326,8.14
327,4.33
328,8.98
329,8.73
330,4.62
331,4.45
332,3.45
333,12.52
334,12.54
335,11.62
336,8.09
337,5.85
338,1.15
339,10
340,4.2
341,3.7
342,6.5
343,8.3
344,12.8
345,9.2
346,10.63
347,7.75
348,7.78
349,7.91
350,7.98
351,7.4
352,14.5
353,9.47
354,8.44
355,2.55
356,9.01
357,7.41
358,7.5
359,6.63
360,9.59
361,9.47
362,9.99
363,8.5
364,4.24
365,4.26
366,3.82
367,12.55
368,10.93
369,11
370,8.22
371,10.07
372,11.34
373,10.04
374,2.58
375,-1.7
376,4.4
377,8.12
378,14.9
379,9.05
380,8.89
381,12.3
382,1.99
383,9.54
384,7.4
385,3.38
386,8.01
387,4.75
388,3.02
389,15.2
390,10.25
391,10.45
