Index,pKa
0,4.73
1,12.4
2,6.66
3,9.44
4,8.94
5,0.51
6,1.38
7,-1.15
8,5.7
9,5.15
10,6.7
11,1.9
12,1.3
13,2
14,1.3
15,3.4
16,7.1
17,7.2
18,3.25
19,10.6
20,2.61
21,9.17
22,8.95
23,3
24,6.1
25,3.05
26,10.15
27,7.04
28,6.23
29,5.74
30,10.2
31,9.33
32,-3.7
33,6.22
34,9.75
35,9
36,10.3
37,1.8
38,7.63
39,3.39
40,-3.77
41,-4.77
42,-4.2
43,9.6
44,4.3
45,4.57
46,5.2
47,9.66
48,4.5
49,7.11
50,3.4
51,3.9
52,8.34
53,9.41
54,6.2
55,2.61
56,5.55
57,7
58,7.77
59,5.7
60,6.58
61,9.67
62,9.94
63,5.12
64,5.45
65,8.1
66,5.35
67,5.26
68,4.36
69,4.01
70,5.41
71,9.21
72,8.27
73,9.35
74,8.6
75,5.92
76,5.6
77,5.73
78,10.13
79,7.15
80,4.95
81,10.58
82,4.26
83,5.11
84,6.6
85,10.04
86,5.47
87,4.3
88,6.45
89,5.85
90,9.87
91,4.84
92,9.87
93,10.39
94,10.8
95,4.22
96,8.78
97,9.8
98,4.81
99,9.14
100,9.53
101,9.67667
102,8.18
103,4.64
104,4.29
105,6.04
106,5.93
107,8.42
108,3.7
109,5.02
110,9.87
111,4.11
112,9
113,7.8
114,8.85
115,5.44
116,1.75
117,9.27
118,7.55
119,6.05
120,9
121,9.64
122,8.8
123,10.29
124,9.88
125,5.15
126,10.4
127,10.62
128,9.41
129,10.8
130,10.7
131,9
132,9.3
133,11.325
134,10.16
135,8.1
136,9.12
137,8.66
138,9.54
139,7.09
140,9.37
141,11.34
142,10.7
143,10.575
144,10.8
145,11.3
146,10.52
147,10.43
148,9.71
149,9.3
150,10.64
151,11.18
152,11.6
153,10.9
154,8.9
155,9.3
156,9.2
157,9.4
158,9.36
159,9.24
160,11.57
161,8.43
162,8.23
163,10.96
164,7.16
165,10.65
166,-0.7
167,-0.78
168,3.09
169,3.16
170,2.04
171,-0.96
172,6.09
173,3.7
174,-0.78
175,-0.74
176,4.8
177,3.1
178,4.82
179,6.99
180,4.68
181,4.97
182,4.97
183,3.4
184,7.7
185,7.4
186,4.85
187,3.8
188,8.87
189,2.83
190,3.15
191,2.24
192,8.46
193,3.16
194,2.79
195,2.62
196,3.13
197,2.9
198,0.53
199,1.48
200,-0.92
201,3.55
202,-0.83
203,-0.84
204,4.87
205,5
206,5.1
207,5.51
208,5.69
209,5.15
210,5.8
211,8.1
212,0.15
213,2.36
214,-1.8
215,6.45
216,3.05
217,5.05
218,4.88
219,5.63
220,4.93
221,4.15
222,-1.6
223,4.5
224,5.81
225,3.71
226,3.93
227,4.75
228,1.99
229,1.5
230,-0.84
231,4.49
232,2.68
233,6.6
234,5.01
235,5.85
236,4.1
237,5.11
238,0.31
239,0.77
240,2.295
241,3.8
242,4.65
243,5.8
244,6.2
245,5.86
246,3.77
247,6.71
248,8.23
249,8.4
250,5.98
251,3.85
252,2.4
253,1.45
254,1.5
255,-0.22
256,9.375
257,2.25
258,4.89
259,6.65
260,2.08
261,3.32
262,12.94
263,8.85
264,7.79
265,6.9
266,4.26
267,6.41
268,6.85
269,2.55
270,7.55
271,9.68
272,8.92
273,2.15
274,11.79
275,11.76
276,6.78
277,6.78
278,9.25
279,10.71
280,6.27
281,7.79
282,5.24
283,7.92
284,1.9
285,1.8
286,17.61
287,11.57
288,8.8
289,10.35
290,5.3
291,4.88
292,9.99
293,9.56
294,4.2
295,4.19
296,3.1
297,10.03
298,6.09
299,8.81
300,8.32
301,5.32
302,2.47
303,9.58
304,10.53
305,9.06
306,8.3
307,9.24
308,8.22
309,11.19
310,9.48
311,-0.56
312,4.1
313,3.78
314,1.34
315,8.87
316,7.99
317,7.08
318,10.99
319,-2.2
320,9.4
321,5.2
322,7.5
323,4.17
324,5.2
325,9.46
326,6.39
327,9.98
328,6.03
329,6.55
330,7.18
331,6.65
332,7.3
333,10.51
334,4.6
335,11.5
336,9.19
337,4.6
338,8.81
339,4.24
340,4.6
341,8.51
342,9.51333
343,9.4
344,10.75
345,4.99
346,9.6
347,9.52
348,9
349,4.53
350,8.04
351,2.6
352,11.04
353,9.34
354,9.33
355,8.8
356,9.6
357,8.6
358,7.07
359,8.27
360,10.47
361,6.1
362,9.37
363,6.28
364,5.15
365,11.2
366,10.35
367,10.65
368,10.6
369,10.63
370,9
371,9.1
372,9
373,9.5
374,-0.76
375,2.64
376,5.24
377,5.28
378,2.68
379,-0.77
380,3.12
381,2.88
382,-0.81
383,5.3
384,4.65
385,3.92
386,3.89
387,6.16
388,4.24
389,2.35
390,1.75
391,3.8
392,4
393,1.7
394,1.73
395,4.03
396,0
397,3.96
398,5.695
399,6.55
400,-1.55
401,3.18
402,5.32
403,0.33
404,3.8
405,1.8
406,-1.27
407,-2.5
408,8.9
409,8
410,9.32
411,6.17
412,4.28
413,4.38
414,3.81
415,4.53
416,6.37
417,3.53
418,4.61
419,4.52
420,2.4
421,2.66
422,4.52
423,4.66
424,9.62
425,5.41
426,3.23
427,5.32
428,4.31
429,5.18
430,3.8
431,4.57
432,4.83
433,4.41
434,4.48
435,7.06
436,4.1
437,9.53
438,10.32
439,3.75
440,2
441,3.8
442,8.36
443,4.035
444,5
445,6.05
446,11.12
447,8.97
448,3.09
449,-1.12
450,-0.4
451,11.76
452,11.31
453,7.23
454,6.78
455,11.2
456,6.12
457,10.3
458,10.54
459,9.82
460,5.28
461,5.07
462,6.71
463,2.2
464,8.05
465,3.65
466,5.6
467,9.7
468,8.55
469,7.74
470,10.7
471,8.43
472,3.69
473,5.7
474,8
475,7.36
476,1.06
477,4.19
478,5.21
479,6.13
480,9.98
481,8.02
482,8.7
483,11.4
