InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0820713	0.000667557	1	1	1	1	0	1.12184	
0.0888974	0.00133511	1	1	1	1	0	1.12145	
0.0934518	0.00200267	1	1	1	1	0	1.12106	
0.0969827	0.00267023	1	1	1	1	0	1.12051	
0.0999153	0.00333778	1	1	1	1	0	1.11865	
0.10245	0.00400534	1	1	1	1	0	1.11815	
0.104699	0.0046729	1	1	1	1	0	1.11724	
0.106731	0.00534045	1	1	1	1	0	1.117	
0.108593	0.00600801	1	1	1	1	0	1.11523	
0.110316	0.00667557	1	1	1	1	0	1.11475	
0.111925	0.00734312	1	1	1	1	0	1.11417	
0.113438	0.00801068	1	1	1	1	0	1.11414	
0.0718187	0.00801068	0.923077	0.999989	1	0.999333	0.000605694	1.11397	
0.0749234	0.00867824	0.928571	0.999802	1	0.999333	0.000605694	1.11341	
0.077793	0.00934579	0.933333	0.999763	1	0.999333	0.000605694	1.11334	
0.0804604	0.0100134	0.9375	0.999682	1	0.999333	0.000605694	1.11321	
0.0829522	0.0106809	0.941176	0.99959	1	0.999333	0.000605694	1.11308	
0.0852902	0.0113485	0.944444	0.999317	1	0.999333	0.000605694	1.11276	
0.0874928	0.012016	0.947368	0.99859	1	0.999333	0.000605694	1.11212	
0.089575	0.0126836	0.95	0.998069	1	0.999333	0.000605694	1.11175	
0.0915499	0.0133511	0.952381	0.998008	1	0.999333	0.000605694	1.11171	
0.0934284	0.0140187	0.954545	0.997993	1	0.999333	0.000605694	1.1117	
0.09522	0.0146862	0.956522	0.994309	1	0.999333	0.000605694	1.10977	
0.0969329	0.0153538	0.958333	0.993702	1	0.999333	0.000605694	1.1095	
0.0985743	0.0160214	0.96	0.993289	1	0.999333	0.000605694	1.10932	
0.10015	0.0166889	0.961538	0.992846	1	0.999333	0.000605694	1.10913	
0.101666	0.0173565	0.962963	0.992751	1	0.999333	0.000605694	1.10909	
0.103127	0.018024	0.964286	0.991942	1	0.999333	0.000605694	1.10875	
0.104537	0.0186916	0.965517	0.990729	1	0.999333	0.000605694	1.10825	
0.1059	0.0193591	0.966667	0.990116	1	0.999333	0.000605694	1.108	
0.10722	0.0200267	0.967742	0.988764	1	0.999333	0.000605694	1.10745	
0.108499	0.0206943	0.96875	0.98847	1	0.999333	0.000605694	1.10733	
0.10974	0.0213618	0.969697	0.988031	1	0.999333	0.000605694	1.10715	
0.110946	0.0220294	0.970588	0.987885	1	0.999333	0.000605694	1.10709	
0.112119	0.0226969	0.971429	0.985977	1	0.999333	0.000605694	1.10629	
0.113261	0.0233645	0.972222	0.984552	1	0.999333	0.000605694	1.10566	
0.114374	0.024032	0.972973	0.984378	1	0.999333	0.000605694	1.10558	
0.11546	0.0246996	0.973684	0.98412	1	0.999333	0.000605694	1.10546	
0.11652	0.0253672	0.974359	0.98374	1	0.999333	0.000605694	1.10528	
0.118568	0.0267023	0.97561	0.98327	1	0.999333	0.000605694	1.10505	
0.119559	0.0273698	0.97619	0.982835	1	0.999333	0.000605694	1.10483	
0.120529	0.0280374	0.976744	0.981899	1	0.999333	0.000605694	1.10434	
0.121479	0.0287049	0.977273	0.980856	1	0.999333	0.000605694	1.10377	
0.122411	0.0293725	0.977778	0.980535	1	0.999333	0.000605694	1.10359	
0.123325	0.0300401	0.978261	0.978086	1	0.999333	0.000605694	1.10215	
0.124222	0.0307076	0.978723	0.977299	1	0.999333	0.000605694	1.10167	
0.125103	0.0313752	0.979167	0.977038	1	0.999333	0.000605694	1.10151	
0.125969	0.0320427	0.979592	0.976583	1	0.999333	0.000605694	1.10123	
0.12682	0.0327103	0.98	0.976469	1	0.999333	0.000605694	1.10116	
0.127657	0.0333778	0.980392	0.976193	1	0.999333	0.000605694	1.10099	
0.12848	0.0340454	0.980769	0.976014	1	0.999333	0.000605694	1.10088	
0.129291	0.034713	0.981132	0.97492	1	0.999333	0.000605694	1.10021	
0.130089	0.0353805	0.981481	0.974854	1	0.999333	0.000605694	1.10017	
0.130875	0.0360481	0.981818	0.974673	1	0.999333	0.000605694	1.10006	
0.13165	0.0367156	0.982143	0.974225	1	0.999333	0.000605694	1.09979	
0.132414	0.0373832	0.982456	0.974091	1	0.999333	0.000605694	1.09971	
0.133167	0.0380507	0.982759	0.97384	1	0.999333	0.000605694	1.09956	
0.13391	0.0387183	0.983051	0.973823	1	0.999333	0.000605694	1.09955	
0.134644	0.0393858	0.983333	0.972448	1	0.999333	0.000605694	1.09875	
0.135368	0.0400534	0.983607	0.972377	1	0.999333	0.000605694	1.09871	
0.136082	0.040721	0.983871	0.971824	1	0.999333	0.000605694	1.0984	
0.136788	0.0413885	0.984127	0.971461	1	0.999333	0.000605694	1.0982	
0.137486	0.0420561	0.984375	0.971333	1	0.999333	0.000605694	1.09813	
0.138175	0.0427236	0.984615	0.970756	1	0.999333	0.000605694	1.09782	
0.138857	0.0433912	0.984848	0.970548	1	0.999333	0.000605694	1.09771	
0.139531	0.0440587	0.985075	0.970028	1	0.999333	0.000605694	1.09744	
0.140197	0.0447263	0.985294	0.96826	1	0.999333	0.000605694	1.09657	
0.140856	0.0453939	0.985507	0.967172	1	0.999333	0.000605694	1.09607	
0.141508	0.0460614	0.985714	0.967127	1	0.999333	0.000605694	1.09605	
0.142154	0.046729	0.985915	0.966697	1	0.999333	0.000605694	1.09586	
0.131098	0.046729	0.972222	0.966328	1	0.998667	0.00121139	1.0957	
0.131814	0.0473965	0.972603	0.965809	1	0.998667	0.00121139	1.09548	
0.132522	0.0480641	0.972973	0.964148	1	0.998667	0.00121139	1.09481	
0.133223	0.0487316	0.973333	0.963836	1	0.998667	0.00121139	1.09469	
0.133917	0.0493992	0.973684	0.9632	1	0.998667	0.00121139	1.09445	
0.134603	0.0500668	0.974026	0.963038	1	0.998667	0.00121139	1.09439	
0.135283	0.0507343	0.974359	0.962738	1	0.998667	0.00121139	1.09428	
0.135955	0.0514019	0.974684	0.962407	1	0.998667	0.00121139	1.09416	
0.136621	0.0520694	0.975	0.962239	1	0.998667	0.00121139	1.0941	
0.137281	0.052737	0.975309	0.962155	1	0.998667	0.00121139	1.09407	
0.137935	0.0534045	0.97561	0.962042	1	0.998667	0.00121139	1.09403	
0.138582	0.0540721	0.975904	0.961758	1	0.998667	0.00121139	1.09393	
0.139223	0.0547397	0.97619	0.9617	1	0.998667	0.00121139	1.09391	
0.139859	0.0554072	0.976471	0.961499	1	0.998667	0.00121139	1.09384	
0.140489	0.0560748	0.976744	0.960555	1	0.998667	0.00121139	1.09352	
0.141114	0.0567423	0.977011	0.959977	1	0.998667	0.00121139	1.09333	
0.141734	0.0574099	0.977273	0.959854	1	0.998667	0.00121139	1.09329	
0.142348	0.0580774	0.977528	0.958652	1	0.998667	0.00121139	1.09291	
0.142957	0.058745	0.977778	0.955789	1	0.998667	0.00121139	1.09207	
0.143561	0.0594126	0.978022	0.954695	1	0.998667	0.00121139	1.09177	
0.135159	0.0594126	0.967391	0.954657	1	0.998001	0.00181708	1.09176	
0.135801	0.0600801	0.967742	0.954545	1	0.998001	0.00181708	1.09173	
0.136437	0.0607477	0.968085	0.953893	1	0.998001	0.00181708	1.09156	
0.137068	0.0614152	0.968421	0.953573	1	0.998001	0.00181708	1.09148	
0.137695	0.0620828	0.96875	0.953205	1	0.998001	0.00181708	1.09139	
0.138316	0.0627503	0.969072	0.952997	1	0.998001	0.00181708	1.09134	
0.138932	0.0634179	0.969388	0.952356	1	0.998001	0.00181708	1.09119	
0.139544	0.0640854	0.969697	0.951422	1	0.998001	0.00181708	1.09098	
0.140152	0.064753	0.97	0.951285	1	0.998001	0.00181708	1.09095	
0.140754	0.0654206	0.970297	0.951009	1	0.998001	0.00181708	1.09089	
0.141353	0.0660881	0.970588	0.949684	1	0.998001	0.00181708	1.09061	
0.141947	0.0667557	0.970874	0.94949	1	0.998001	0.00181708	1.09057	
0.142536	0.0674232	0.971154	0.948255	1	0.998001	0.00181708	1.09032	
0.143122	0.0680908	0.971429	0.944437	1	0.998001	0.00181708	1.08958	
0.143704	0.0687583	0.971698	0.943647	1	0.998001	0.00181708	1.08943	
0.144282	0.0694259	0.971963	0.941908	1	0.998001	0.00181708	1.0891	
0.144856	0.0700935	0.972222	0.941802	1	0.998001	0.00181708	1.08908	
0.145426	0.070761	0.972477	0.941121	1	0.998001	0.00181708	1.08895	
0.145992	0.0714286	0.972727	0.941016	1	0.998001	0.00181708	1.08893	
0.146555	0.0720961	0.972973	0.940963	1	0.998001	0.00181708	1.08892	
0.147114	0.0727637	0.973214	0.939458	1	0.998001	0.00181708	1.08863	
0.14767	0.0734312	0.973451	0.939151	1	0.998001	0.00181708	1.08857	
