InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0445956	0.000475511	1	1	1	1	0	1.12367	
0.0483028	0.000951022	1	1	1	1	0	1.12223	
0.0507755	0.00142653	1	1	1	1	0	1.12205	
0.0526918	0.00190204	1	1	1	1	0	1.12176	
0.054283	0.00237756	1	1	1	1	0	1.12135	
0.0556579	0.00285307	1	1	1	1	0	1.12099	
0.0568774	0.00332858	1	1	1	1	0	1.12091	
0.057979	0.00380409	1	1	1	1	0	1.12059	
0.058988	0.0042796	1	1	1	1	0	1.12051	
0.0599218	0.00475511	1	1	1	1	0	1.12033	
0.0607933	0.00523062	1	1	1	1	0	1.12029	
0.0616122	0.00570613	1	1	1	1	0	1.1202	
0.0623861	0.00618165	1	1	1	1	0	1.11988	
0.063121	0.00665716	1	1	1	1	0	1.11972	
0.0638215	0.00713267	1	1	1	1	0	1.11938	
0.0644917	0.00760818	1	1	1	1	0	1.11919	
0.0651349	0.00808369	1	1	1	1	0	1.11905	
0.0657537	0.0085592	1	1	1	1	0	1.11884	
0.0663506	0.00903471	1	1	1	1	0	1.1185	
0.0669275	0.00951022	1	1	1	1	0	1.11838	
0.0410784	0.00951022	0.952381	0.999994	1	0.999525	0.000956023	1.11821	
0.0422563	0.00998573	0.954545	0.99999	1	0.999525	0.000956023	1.11816	
0.0433797	0.0104612	0.956522	0.999989	1	0.999525	0.000956023	1.11815	
0.0444535	0.0109368	0.958333	0.999895	1	0.999525	0.000956023	1.11768	
0.0454819	0.0114123	0.96	0.999877	1	0.999525	0.000956023	1.11762	
0.0464686	0.0118878	0.961538	0.999793	1	0.999525	0.000956023	1.11739	
0.0474171	0.0123633	0.962963	0.999745	1	0.999525	0.000956023	1.11728	
0.0345669	0.0123633	0.928571	0.999731	1	0.99905	0.00191205	1.11725	
0.0356119	0.0128388	0.931034	0.99948	1	0.99905	0.00191205	1.1168	
0.0366225	0.0133143	0.933333	0.999461	1	0.99905	0.00191205	1.11677	
0.0376009	0.0137898	0.935484	0.999308	1	0.99905	0.00191205	1.11655	
0.0385491	0.0142653	0.9375	0.999286	1	0.99905	0.00191205	1.11652	
0.0394687	0.0147408	0.939394	0.999145	1	0.99905	0.00191205	1.11634	
0.0403615	0.0152164	0.941176	0.999002	1	0.99905	0.00191205	1.11617	
0.041229	0.0156919	0.942857	0.998922	1	0.99905	0.00191205	1.11608	
0.0420727	0.0161674	0.944444	0.998763	1	0.99905	0.00191205	1.11591	
0.0428937	0.0166429	0.945946	0.998724	1	0.99905	0.00191205	1.11587	
0.0436933	0.0171184	0.947368	0.998531	1	0.99905	0.00191205	1.11568	
0.0444727	0.0175939	0.948718	0.998371	1	0.99905	0.00191205	1.11553	
0.0452328	0.0180694	0.95	0.998305	1	0.99905	0.00191205	1.11547	
0.0466992	0.0190204	0.952381	0.997795	1	0.99905	0.00191205	1.11504	
0.0474072	0.019496	0.953488	0.997604	1	0.99905	0.00191205	1.11489	
0.0480995	0.0199715	0.954545	0.997351	1	0.99905	0.00191205	1.1147	
