InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.157924	0	0	0.973262	1	0.999583	0.00132626	1.12463	
0.0189617	0.000417537	0.5	0.973262	1	0.999583	0.00132626	1.12461	
0.00282303	0.000835073	0.666667	0.973262	1	0.999583	0.00132626	1.12444	
3.95794e-05	0.00125261	0.75	0.973262	1	0.999583	0.00132626	1.1244	
0.00847608	0.00125261	0.6	0.973262	1	0.999166	0.00265252	1.12438	
0.00309585	0.00167015	0.666667	0.973262	1	0.999166	0.00265252	1.12419	
0.000796082	0.00208768	0.714286	0.973262	1	0.999166	0.00265252	1.1241	
4.35727e-05	0.00250522	0.75	0.973262	1	0.999166	0.00265252	1.12409	
0.000121105	0.00292276	0.777778	0.973262	1	0.999166	0.00265252	1.12407	
0.00142109	0.00292276	0.7	0.973262	1	0.998749	0.00397878	1.12402	
0.000445254	0.00334029	0.727273	0.973262	1	0.998749	0.00397878	1.12396	
4.63264e-05	0.00375783	0.75	0.973262	1	0.998749	0.00397878	1.12395	
3.22254e-05	0.00417537	0.769231	0.973262	1	0.998749	0.00397878	1.12394	
0.000279021	0.0045929	0.785714	0.973262	1	0.998749	0.00397878	1.12389	
0.000704393	0.00501044	0.8	0.973262	1	0.998749	0.00397878	1.12382	
0.00125235	0.00542797	0.8125	0.973262	1	0.998749	0.00397878	1.12378	
0.00188404	0.00584551	0.823529	0.973262	1	0.998749	0.00397878	1.12363	
0.00257213	0.00626305	0.833333	0.973262	1	0.998749	0.00397878	1.12362	
0.00329706	0.00668058	0.842105	0.973262	1	0.998749	0.00397878	1.12359	
0.00404478	0.00709812	0.85	0.973262	1	0.998749	0.00397878	1.12348	
0.00480505	0.00751566	0.857143	0.973262	1	0.998749	0.00397878	1.12338	
0.00557043	0.00793319	0.863636	0.973262	1	0.998749	0.00397878	1.12332	
0.00215543	0.00793319	0.826087	0.973262	1	0.998333	0.00530504	1.12316	
0.00270331	0.00835073	0.833333	0.973262	1	0.998333	0.00530504	1.12305	
0.00327329	0.00876827	0.84	0.973262	1	0.998333	0.00530504	1.123	
0.00385891	0.0091858	0.846154	0.973262	1	0.998333	0.00530504	1.12299	
0.00445509	0.00960334	0.851852	0.973262	1	0.998333	0.00530504	1.12298	
0.00505783	0.0100209	0.857143	0.973262	1	0.998333	0.00530504	1.12286	
0.00566396	0.0104384	0.862069	0.973262	1	0.998333	0.00530504	1.12272	
0.00627095	0.0108559	0.866667	0.973262	1	0.998333	0.00530504	1.12271	
0.00687684	0.0112735	0.870968	0.973262	1	0.998333	0.00530504	1.12268	
0.00748004	0.011691	0.875	0.973262	1	0.998333	0.00530504	1.12263	
0.00807931	0.0121086	0.878788	0.973262	1	0.998333	0.00530504	1.12248	
0.00867368	0.0125261	0.882353	0.973262	1	0.998333	0.00530504	1.12245	
0.0092624	0.0129436	0.885714	0.973262	1	0.998333	0.00530504	1.12244	
0.00984488	0.0133612	0.888889	0.973262	1	0.998333	0.00530504	1.12243	
0.0104207	0.0137787	0.891892	0.973262	1	0.998333	0.00530504	1.12241	
0.0109895	0.0141962	0.894737	0.973262	1	0.998333	0.00530504	1.1224	
0.0115511	0.0146138	0.897436	0.973262	1	0.998333	0.00530504	1.12237	
0.0121052	0.0150313	0.9	0.973262	1	0.998333	0.00530504	1.12236	
0.0126519	0.0154489	0.902439	0.973262	1	0.998333	0.00530504	1.12234	
0.0131911	0.0158664	0.904762	0.973262	1	0.998333	0.00530504	1.12232	
0.0142468	0.0167015	0.909091	0.973262	1	0.998333	0.00530504	1.12229	
0.0147635	0.017119	0.911111	0.973262	1	0.998333	0.00530504	1.12216	
0.0152728	0.0175365	0.913043	0.973262	1	0.998333	0.00530504	1.12215	
0.0157748	0.0179541	0.914894	0.973262	1	0.998333	0.00530504	1.12211	
0.0162696	0.0183716	0.916667	0.973262	1	0.998333	0.00530504	1.1221	
0.0167574	0.0187891	0.918367	0.973262	1	0.998333	0.00530504	1.12205	
0.0172382	0.0192067	0.92	0.973262	1	0.998333	0.00530504	1.12201	
0.0177122	0.0196242	0.921569	0.973262	1	0.998333	0.00530504	1.12199	
0.0186404	0.0204593	0.924528	0.973262	1	0.998333	0.00530504	1.12182	
0.0190948	0.0208768	0.925926	0.973262	1	0.998333	0.00530504	1.12171	
0.019543	0.0212944	0.927273	0.973262	1	0.998333	0.00530504	1.12168	
0.019985	0.0217119	0.928571	0.973262	1	0.998333	0.00530504	1.12167	
0.0204211	0.0221294	0.929825	0.973262	1	0.998333	0.00530504	1.12163	
0.0208513	0.022547	0.931034	0.973262	1	0.998333	0.00530504	1.12161	
0.0212758	0.0229645	0.932203	0.973262	1	0.998333	0.00530504	1.1215	
0.0216947	0.023382	0.933333	0.973262	1	0.998333	0.00530504	1.12142	
0.0221081	0.0237996	0.934426	0.973262	1	0.998333	0.00530504	1.12141	
0.0225163	0.0242171	0.935484	0.973262	1	0.998333	0.00530504	1.12134	
0.0229193	0.0246347	0.936508	0.973262	1	0.998333	0.00530504	1.12133	
0.0233172	0.0250522	0.9375	0.973262	1	0.998333	0.00530504	1.12124	
0.0237101	0.0254697	0.938462	0.973262	1	0.998333	0.00530504	1.12123	
0.0244816	0.0263048	0.940299	0.973262	1	0.998333	0.00530504	1.12119	
0.0248604	0.0267223	0.941176	0.973262	1	0.998333	0.00530504	1.12118	
0.0252347	0.0271399	0.942029	0.973262	1	0.998333	0.00530504	1.12108	
0.0256047	0.0275574	0.942857	0.973262	1	0.998333	0.00530504	1.12103	
0.0259703	0.0279749	0.943662	0.973262	1	0.998333	0.00530504	1.121	
0.0263317	0.0283925	0.944444	0.973262	1	0.998333	0.00530504	1.12091	
0.0266891	0.02881	0.945205	0.973262	1	0.998333	0.00530504	1.12086	
0.0270424	0.0292276	0.945946	0.973262	1	0.998333	0.00530504	1.12083	
0.0273919	0.0296451	0.946667	0.973262	1	0.998333	0.00530504	1.12078	
0.0277376	0.0300626	0.947368	0.973262	1	0.998333	0.00530504	1.12074	
0.0280795	0.0304802	0.948052	0.973262	1	0.998333	0.00530504	1.12073	
0.0284178	0.0308977	0.948718	0.973262	1	0.998333	0.00530504	1.12071	
0.0290837	0.0317328	0.95	0.973262	1	0.998333	0.00530504	1.12063	
0.0294116	0.0321503	0.950617	0.973262	1	0.998333	0.00530504	1.1206	
0.0297361	0.0325678	0.95122	0.973262	1	0.998333	0.00530504	1.12057	
0.0300574	0.0329854	0.951807	0.973262	1	0.998333	0.00530504	1.12052	
0.0303755	0.0334029	0.952381	0.973262	1	0.998333	0.00530504	1.12048	
0.0306905	0.0338205	0.952941	0.973262	1	0.998333	0.00530504	1.12047	
0.0265115	0.0338205	0.94186	0.973262	1	0.997917	0.0066313	1.12037	
0.026829	0.034238	0.942529	0.973262	1	0.997917	0.0066313	1.12036	
0.0271436	0.0346555	0.943182	0.973262	1	0.997917	0.0066313	1.12032	
0.0274555	0.0350731	0.94382	0.973262	1	0.997917	0.0066313	1.12027	
0.0277647	0.0354906	0.944444	0.973262	1	0.997917	0.0066313	1.12024	
0.028375	0.0363257	0.945652	0.973262	1	0.997917	0.0066313	1.12004	
0.0286762	0.0367432	0.946237	0.973262	1	0.997917	0.0066313	1.12001	
0.028975	0.0371608	0.946809	0.973262	1	0.997917	0.0066313	1.11996	
0.0292712	0.0375783	0.947368	0.97326	1	0.997917	0.0066313	1.11988	
0.029565	0.0379958	0.947917	0.973258	1	0.997917	0.0066313	1.11985	
0.0298565	0.0384134	0.948454	0.973257	1	0.997917	0.0066313	1.11983	
0.0301455	0.0388309	0.94898	0.973256	1	0.997917	0.0066313	1.11982	
0.0304323	0.0392484	0.949495	0.973248	1	0.997917	0.0066313	1.11972	
0.0309991	0.0400835	0.950495	0.973246	1	0.997917	0.0066313	1.11971	
0.0312791	0.040501	0.95098	0.973245	1	0.997917	0.0066313	1.1197	
0.0315571	0.0409186	0.951456	0.973238	1	0.997917	0.0066313	1.11964	
0.0318329	0.0413361	0.951923	0.97323	1	0.997917	0.0066313	1.11959	
0.0321067	0.0417537	0.952381	0.973223	1	0.997917	0.0066313	1.11955	
0.0323784	0.0421712	0.95283	0.97322	1	0.997917	0.0066313	1.11953	
0.0329159	0.0430063	0.953704	0.973214	1	0.997917	0.0066313	1.1195	
0.0331817	0.0434238	0.954128	0.973212	1	0.997917	0.0066313	1.11949	
0.0334457	0.0438413	0.954545	0.973204	1	0.997917	0.0066313	1.11945	
0.0337077	0.0442589	0.954955	0.973195	1	0.997917	0.0066313	1.11941	
0.033968	0.0446764	0.955357	0.973185	1	0.997917	0.0066313	1.11937	
0.0342264	0.0450939	0.955752	0.973183	1	0.997917	0.0066313	1.11936	
0.034483	0.0455115	0.95614	0.97318	1	0.997917	0.0066313	1.11935	
0.034738	0.045929	0.956522	0.97315	1	0.997917	0.0066313	1.11924	
0.0349911	0.0463466	0.956897	0.973134	1	0.997917	0.0066313	1.11919	
0.0352427	0.0467641	0.957265	0.973131	1	0.997917	0.0066313	1.11918	
0.0354925	0.0471816	0.957627	0.973125	1	0.997917	0.0066313	1.11916	
0.0359874	0.0480167	0.958333	0.973118	1	0.997917	0.0066313	1.11914	
0.0362324	0.0484342	0.958678	0.973097	1	0.997917	0.0066313	1.11908	
0.0364759	0.0488518	0.959016	0.973083	1	0.997917	0.0066313	1.11904	
0.0367178	0.0492693	0.95935	0.973014	1	0.997917	0.0066313	1.11887	
0.0369583	0.0496868	0.959677	0.97301	1	0.997917	0.0066313	1.11886	
0.0371973	0.0501044	0.96	0.972996	1	0.997917	0.0066313	1.11883	
0.0379055	0.051357	0.960938	0.972987	1	0.997917	0.0066313	1.11881	
0.0381388	0.0517745	0.96124	0.97294	1	0.997917	0.0066313	1.11871	
0.0383707	0.0521921	0.961538	0.972925	1	0.997917	0.0066313	1.11868	
0.0388305	0.0530271	0.962121	0.972914	1	0.997917	0.0066313	1.11866	
0.0392851	0.0538622	0.962687	0.972851	1	0.997917	0.0066313	1.11854	
0.0395105	0.0542797	0.962963	0.972834	1	0.997917	0.0066313	1.11851	
0.0397346	0.0546973	0.963235	0.972811	1	0.997917	0.0066313	1.11847	
0.0399575	0.0551148	0.963504	0.972782	1	0.997917	0.0066313	1.11842	
0.0401792	0.0555324	0.963768	0.972751	1	0.997917	0.0066313	1.11837	
0.0403997	0.0559499	0.964029	0.972689	1	0.997917	0.0066313	1.11827	
0.040619	0.0563674	0.964286	0.972669	1	0.997917	0.0066313	1.11824	
0.0408372	0.056785	0.964539	0.972649	1	0.997917	0.0066313	1.11821	
0.0410542	0.0572025	0.964789	0.972574	1	0.997917	0.0066313	1.1181	
0.0412701	0.05762	0.965035	0.972538	1	0.997917	0.0066313	1.11805	
0.0416985	0.0584551	0.965517	0.972524	1	0.997917	0.0066313	1.11803	
0.0421227	0.0592902	0.965986	0.972517	1	0.997917	0.0066313	1.11802	
