InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0153275	0.00036483	1	1	1	1	0	1.12494	
0.0174507	0.00109449	1	1	1	1	0	1.12492	
0.0181088	0.00145932	1	1	1	1	0	1.12489	
0.0186552	0.00182415	1	1	1	1	0	1.12488	
0.0195458	0.00255381	1	1	1	1	0	1.12487	
0.0199239	0.00291864	1	1	1	1	0	1.12485	
0.0202701	0.00328347	1	1	1	1	0	1.12481	
0.0205904	0.0036483	1	1	1	1	0	1.1248	
0.0208894	0.00401313	1	1	1	1	0	1.12479	
0.0211702	0.00437796	1	1	1	1	0	1.12475	
0.0216875	0.00510762	1	1	1	1	0	1.12473	
0.0219276	0.00547246	1	1	1	1	0	1.1247	
0.0221574	0.00583729	1	1	1	1	0	1.12468	
0.0223777	0.00620212	1	1	1	1	0	1.12467	
0.0225898	0.00656695	1	1	1	1	0	1.12466	
0.00636309	0.00729661	0.952381	1	1	0.999635	0.00245098	1.12465	
0.00682138	0.00766144	0.954545	0.999996	1	0.999635	0.00245098	1.12463	
0.00182754	0.00802627	0.916667	0.999992	1	0.999271	0.00490196	1.12462	
0.0021373	0.0083911	0.92	0.999969	1	0.999271	0.00490196	1.12458	
0.0024512	0.00875593	0.923077	0.999877	1	0.999271	0.00490196	1.1245	
0.00276732	0.00912076	0.925926	0.999862	1	0.999271	0.00490196	1.12449	
0.00308415	0.00948559	0.928571	0.999845	1	0.999271	0.00490196	1.12448	
0.00371543	0.0102152	0.933333	0.999828	1	0.999271	0.00490196	1.12447	
0.00402825	0.0105801	0.935484	0.99981	1	0.999271	0.00490196	1.12446	
0.0046454	0.0113097	0.939394	0.999771	1	0.999271	0.00490196	1.12444	
0.00494898	0.0116746	0.941176	0.99975	1	0.999271	0.00490196	1.12443	
0.0055449	0.0124042	0.944444	0.999706	1	0.999271	0.00490196	1.12441	
0.00583694	0.0127691	0.945946	0.999659	1	0.999271	0.00490196	1.12439	
0.00612492	0.0131339	0.947368	0.999634	1	0.999271	0.00490196	1.12438	
0.00640879	0.0134987	0.948718	0.999608	1	0.999271	0.00490196	1.12437	
